"Obec, mesto, mestská časť",latitude,longitude
Hradište pod Vrátnom,48.67922,17.36697
Hrádok,48.75466,17.83506
Hrachovište,48.75466,17.83506
Hrachovo,48.38284,20.0224
Hraničné,49.29859,20.6862
Hranovnica,49.06144,20.29798
Hraň,48.62858,21.71954
Hrašné,48.75876,17.56866
Hrašovík,48.66667,21.33333
Hrčeľ,48.62858,21.71954
Hrhov,48.66008,20.53758
Hriadky,48.62858,21.71954
Hričovské Podhradie,49.22224,18.62264
Hriňová,48.56082,19.41954
Hrišovce,48.85584,20.93712
Hrkovce,48.21563,18.60705
Hrlica,48.68346,20.11734
Hrnčiarovce nad Parnou,48.34261,17.56767
Hrnčiarska Ves,48.43094,19.79408
Hrnčiarske Zalužany,48.43094,19.79408
Hrochoť,48.65567,19.31284
Hromoš,49.29859,20.6862
Hronec,48.80431,19.63631
Hronovce,48.21563,18.60705
Hronsek,48.65248,19.15682
Hronská Breznica,48.57442,19.15324
Hronská Dúbrava,48.59184,18.84958
Hronské Kľačany,48.21563,18.60705
Hronské Kosihy,48.21563,18.60705
Hronský Beňadik,48.48124,18.71565
Hrubá Borša,48.21951,17.40043
Hruboňovo,48.30763,18.08453
Hrubov,48.93707,21.91625
Hrubý Šúr,48.21951,17.40043
Hrušov,48.21058,19.35043
Hrušov,48.66008,20.53758
Hrušovany,48.56362,18.16712
Hrušovo,48.38284,20.0224
Hruštín,49.4079,19.48032
Hubice,47.99268,17.61211
Hubina,48.59479,17.82591
Hubošovce,49.10308,21.0988
Hubová,49.0748,19.30751
Hubovo,48.38284,20.0224
Hucín,48.68346,20.11734
Hudcovce,48.93707,21.91625
Hul,47.98333,18.16667
Humenné,48.93707,21.91625
Huncovce,49.1357,20.43352
Hunkovce,49.30819,21.5703
Hurbanova Ves,48.21951,17.40043
Hurbanovo,47.76667,18.13333
Husák,48.74455,22.18136
Husiná,48.38284,20.0224
Hutka,49.29175,21.27271
Huty,49.08061,19.62218
Hviezdoslavov,47.99268,17.61211
Hvozdnica,49.22404,18.55878
Hybe,49.08061,19.62218
Hýľov,48.66667,21.33333
Chanava,48.38284,20.0224
Chlebnice,49.20983,19.30341
Chlmec,48.93707,21.91625
Chľaba,47.98333,18.16667
Chmeľnica,49.29859,20.6862
Chmeľov,49.06805,21.43806
Chmeľová,49.29175,21.27271
Chmeľovec,49.08226,21.36663
Chminianska Nová Ves,49.00332,21.08251
Chminianske Jakubovany,48.99663,21.01989
Chmiňany,49.0014,21.06785
Choča,48.38553,18.40063
Chocholná-Velčice,48.89452,18.04436
Choňkovce,48.74455,22.18136
Chorvátsky Grob,48.21951,17.40043
Chorváty,48.66667,21.33333
Chotča,49.20211,21.65216
Chotín,47.76667,18.13333
Chrabrany,48.56362,18.16712
Chrámec,48.38284,20.0224
Chrastince,48.21058,19.35043
Chrastné,48.66667,21.33333
Chrasť nad Hornádom,48.94464,20.56154
Chrenovec-Brusno,48.76667,18.63333
Chropov,48.8449,17.22635
Chrťany,48.21058,19.35043
Chtelnica,48.59479,17.82591
Chudá Lehota,48.83333,18.25
Chvalová,48.68346,20.11734
Chvojnica,48.75876,17.56866
Chvojnica,48.76667,18.63333
Chynorany,48.83333,18.25
Chyžné,48.68346,20.11734
Igram,48.21951,17.40043
Ihľany,49.1357,20.43352
Ihráč,48.59184,18.84958
Ilava,48.83333,18.25
Iliašovce,48.94464,20.56154
Ilija,48.44858,18.91003
Imeľ,47.76667,18.13333
Inovce,48.74455,22.18136
Iňa,48.21563,18.60705
Iňačovce,48.75434,21.9195
Ipeľské Predmostie,48.21058,19.35043
Ipeľské Úľany,48.21563,18.60705
Ipeľský Sokolec,48.21563,18.60705
Istebné,49.20983,19.30341
Ivachnová,49.0748,19.30751
Ivančiná,48.86226,18.86048
Ivanice,48.38284,20.0224
Ivanka pri Dunaji,48.21951,17.40043
Ivanka pri Nitre,48.24295,18.11618
Ivanovce,48.89452,18.04436
Iža,47.76667,18.13333
Ižipovce,49.08061,19.62218
Ižkovce,48.75434,21.9195
Jablonec,48.28986,17.26664
Jablonica,48.67922,17.36697
Jablonka,48.75876,17.56866
Jablonov,49.02173,20.59212
Jablonov nad Turňou,48.66008,20.53758
Jablonové,48.43604,17.02188
Jablonové,49.22404,18.55878
Jabloň,48.93707,21.91625
Jabloňovce,48.21563,18.60705
Jacovce,48.56362,18.16712
Jahodná,47.99268,17.61211
Jaklovce,48.85584,20.93712
Jakovany,49.10308,21.0988
Jakubany,49.29859,20.6862
Jakubov,48.43604,17.02188
Jakubova Voľa,49.10308,21.0988
Jakubovany,49.08061,19.62218
Jakubovany,49.10308,21.0988
Jakušovce,49.20211,21.65216
Jalová,48.98857,22.15099
Jalovec,48.76667,18.63333
Jalovec,49.08061,19.62218
Jalšové,48.43174,17.8031
Jalšovík,48.3554,19.06474
Jamník,49.08061,19.62218
Jamník,48.94464,20.56154
Janice,48.38284,20.0224
Janík,48.66667,21.33333
Janíky,47.99268,17.61211
Jankovce,48.93707,21.91625
Janov,48.93891,21.17846
Janova Lehota,48.59184,18.84958
Janovce,49.29175,21.27271
Jánovce,48.2,17.71667
Jánovce,49.06144,20.29798
Janovík,48.83333,21.25
Jarabá,48.80431,19.63631
Jarabina,49.29859,20.6862
Jarok,48.27541,17.95913
Jarovnice,49.10308,21.0988
Jasenica,49.12153,18.42169
Jasenie,48.80431,19.63631
Jasenov,48.93707,21.91625
Jasenov,48.74455,22.18136
Jasenová,49.20983,19.30341
Jasenovce,48.88836,21.68479
Jasenové,49.11061,18.63648
Jasenovo,48.86226,18.86048
Jaslovské Bohunice,48.47553,17.64736
Jasov,48.66667,21.33333
Jasová,47.98333,18.16667
Jastrabá,48.59184,18.84958
Jastrabie nad Topľou,48.88836,21.68479
Jastrabie pri Michalovciach,48.75434,21.9195
Jatov,47.98333,18.16667
Jazernica,48.86226,18.86048
Jedlinka,49.29175,21.27271
Jedľové Kostoľany,48.38553,18.40063
Jelenec,48.37844,18.22351
Jelka,48.2,17.71667
Jelšava,48.68346,20.11734
Jelšovce,48.38233,18.05795
Jelšovec,48.33249,19.66708
Jenkovce,48.74455,22.18136
Jesenské,48.21563,18.60705
Jesenské,48.38284,20.0224
Jestice,48.38284,20.0224
Ješkova Ves,48.83333,18.25
Jezersko,49.1357,20.43352
Jovice,48.66008,20.53758
Jovsa,48.75434,21.9195
Jur nad Hronom,48.21563,18.60705
Jurkova Voľa,49.30819,21.5703
Jurová,47.99268,17.61211
Jurské,49.1357,20.43352
Juskova Voľa,48.88836,21.68479
Kačanov,48.75434,21.9195
Kajal,48.2,17.71667
Kalameny,49.0748,19.30751
Kalinkovo,48.21951,17.40043
Kalinov,49.16667,21.25
Kalinovo,48.43094,19.79408
Kalná nad Hronom,48.21563,18.60705
Kalná Roztoka,48.98857,22.15099
Kálnica,48.75466,17.83506
Kalnište,49.30819,21.5703
Kalonda,48.33249,19.66708
Kalša,48.66667,21.33333
Kaloša,48.38284,20.0224
Kaluža,48.75434,21.9195
Kaľamenová,48.86226,18.86048
Kaľava,48.94464,20.56154
Kamanová,48.56362,18.16712
Kamenec pod Vtáčnikom,48.76667,18.63333
Kamenica,49.10308,21.0988
Kamenica nad Cirochou,48.93707,21.91625
Kamenica nad Hronom,47.98333,18.16667
Kameničany,48.83333,18.25
Kameničná,47.76667,18.13333
Kamenín,47.98333,18.16667
Kamenná Poruba,49.09235,18.68842
Kamenná Poruba,48.88836,21.68479
Kamenné Kosihy,48.21058,19.35043
Kamenný Most,47.98333,18.16667
Kameňany,48.68346,20.11734
Kamienka,48.93707,21.91625
Kamienka,49.29859,20.6862
Kanianka,48.76667,18.63333
Kapince,48.30763,18.08453
Kapišová,49.30819,21.5703
Kaplna,48.21951,17.40043
Kapušany,49.04516,21.33352
Kapušianske Kľačany,48.75434,21.9195
Karlová,49.06651,18.92399
Karná,48.93707,21.91625
Kašov,48.62858,21.71954
Kátlovce,48.3774,17.58723
Kátov,48.8449,17.22635
Kazimír,48.62858,21.71954
Kecerovce,48.66667,21.33333
Kecerovský Lipovec,48.66667,21.33333
Kečkovce,49.30819,21.5703
Kečovo,48.66008,20.53758
Kechnec,48.66667,21.33333
Kendice,48.99839,21.23393
Kesovce,48.38284,20.0224
Keť,48.21563,18.60705
Kežmarok,49.1357,20.43352
Kiarov,48.21058,19.35043
Kladzany,48.88836,21.68479
Klasov,48.27625,18.25937
Kláštor pod Znievom,49.06651,18.92399
Klátova Nová Ves,48.83333,18.25
Klčov,49.02173,20.59212
Klenov,48.92667,21.05598
Klenová,48.98857,22.15099
Klenovec,48.38284,20.0224
Kleňany,48.21058,19.35043
Klieština,49.12153,18.42169
Klin,49.4079,19.48032
Klin nad Bodrogom,48.62858,21.71954
Klížska Nemá,47.76667,18.13333
Klokoč,48.56082,19.41954
Klokočov,49.43503,18.78895
Klokočov,48.75434,21.9195
Klubina,49.43503,18.78895
Kluknava,48.85584,20.93712
Kľačany,48.43174,17.8031
Kľače,49.10637,18.6485
Kľačno,48.76667,18.63333
Kľak,48.48124,18.71565
Kľúčovec,47.99268,17.61211
Kľušov,49.29175,21.27271
Kmeťovo,47.98333,18.16667
Kobeliarovo,48.66008,20.53758
Kobylnice,49.30819,21.5703
Kobyly,49.29175,21.27271
Koceľovce,48.66008,20.53758
Kociha,48.38284,20.0224
Kocurany,48.76667,18.63333
Kočín-Lančár,48.59479,17.82591
Kočovce,48.75466,17.83506
Kochanovce,49.29175,21.27271
Kochanovce,48.93707,21.91625
Kojatice,48.99814,21.13052
Kojšov,48.85584,20.93712
Kokava nad Rimavicou,48.43094,19.79408
Kokošovce,48.94412,21.33512
Kokšov-Bakša,48.66667,21.33333
Kolačkov,49.29859,20.6862
Kolačno,48.83333,18.25
Koláre,48.21058,19.35043
Kolárovice,49.22404,18.55878
Kolárovo,47.76667,18.13333
Kolbasov,48.98857,22.15099
Kolbovce,49.20211,21.65216
Kolibabovce,48.74455,22.18136
Kolinovce,48.94464,20.56154
Kolíňany,48.36059,18.19693
Kolonica,48.98857,22.15099
Kolta,47.98333,18.16667
Komárany,48.88836,21.68479
Komárno,47.76667,18.13333
Komárov,49.29175,21.27271
Komárovce,48.66667,21.33333
Komjatice,47.98333,18.16667
Komjatná,49.0748,19.30751
Komoča,47.98333,18.16667
Koniarovce,48.56362,18.16712
Konrádovce,48.38284,20.0224
Konská,49.08061,19.62218
Konská,49.11113,18.67812
Koňuš,48.74455,22.18136
Kopčany,48.8449,17.22635
Kopernica,48.59184,18.84958
Koplotovce,48.43174,17.8031
Koprivnica,49.29175,21.27271
Kordíky,48.7718,19.02197
Korejovce,49.30819,21.5703
Korňa,49.43503,18.78895
Koromľa,48.74455,22.18136
Korunková,49.20211,21.65216
Korytárky,48.56082,19.41954
Korytné,49.02173,20.59212
Kosihovce,48.21058,19.35043
Kosihy nad Ipľom,48.21058,19.35043
Kosorín,48.59184,18.84958
Kostolec,49.12153,18.42169
Kostolište,48.43604,17.02188
Kostolná pri Dunaji,48.21951,17.40043
Kostolná Ves,48.76667,18.63333
Kostolná-Záriečie,48.89452,18.04436
Kostolné,48.75876,17.56866
Kostolné Kračany,47.99268,17.61211
Kostoľany nad Hornádom,48.66667,21.33333
Kostoľany pod Tribečom,48.38553,18.40063
Koš,48.76667,18.63333
Košariská,48.75876,17.56866
Košarovce,48.93707,21.91625
Košeca,48.83333,18.25
Košecké Podhradie,48.83333,18.25
Košice I,48.71395,21.25808
Košice II,48.71395,21.25808
Košice III,48.71395,21.25808
Košice IV,48.71395,21.25808
Košická Belá,48.66667,21.33333
Košická Polianka,48.66667,21.33333
Košické Oľšany,48.66667,21.33333
Košický Klečenov,48.66667,21.33333
Koškovce,48.93707,21.91625
Košolná,48.42459,17.46476
Košúty,48.2,17.71667
Košťany nad Turcom,49.06651,18.92399
Kotešová,49.22404,18.55878
Kotmanová,48.33249,19.66708
Kotrčiná Lúčka,49.2503,18.83897
Kováčová,48.57442,19.15324
Kováčová,48.66008,20.53758
Kováčovce,48.21058,19.35043
Koválov,48.67922,17.36697
Koválovec,48.8449,17.22635
Kovarce,48.56362,18.16712
Kozárovce,48.21563,18.60705
Kozelník,48.44858,18.91003
Kozí Vrbovok,48.3554,19.06474
Kožany,49.29175,21.27271
Kožuchov,48.62858,21.71954
Kožuchovce,49.20211,21.65216
Kračúnovce,49.30819,21.5703
Krahule,48.59184,18.84958
Krajná Bystrá,49.30819,21.5703
Krajná Poľana,49.30819,21.5703
Krajná Porúbka,49.30819,21.5703
Krajné,48.75876,17.56866
Krajné Čierno,49.30819,21.5703
Krakovany,48.59479,17.82591
Králiky,48.7348,19.03708
Kráľ,48.38284,20.0224
Kráľov Brod,48.2,17.71667
Kráľova Lehota,49.08061,19.62218
Kráľová nad Váhom,48.15127,17.88062
Kráľová pri Senci,48.21951,17.40043
Kraľovany,49.20983,19.30341
Kráľovce,48.66667,21.33333
Kráľovce-Krnišov,48.3554,19.06474
Kráľovičove Kračany,47.99268,17.61211
Kráľovský Chlmec,48.62858,21.71954
Kraskovo,48.38284,20.0224
Krásna Lúka,49.10308,21.0988
Krásna Ves,48.83333,18.25
Krásno,48.83333,18.25
Krásno nad Kysucou,49.43503,18.78895
Krásnohorská Dlhá Lúka,48.66008,20.53758
Krásnohorské Podhradie,48.66008,20.53758
Krásnovce,48.75434,21.9195
Krásny Brod,49.16667,21.25
Krasňany,49.21491,18.88718
Kravany,49.06144,20.29798
Kravany,48.62858,21.71954
Kravany nad Dunajom,47.76667,18.13333
Krčava,48.74455,22.18136
Kremná,49.29859,20.6862
Kremnica,48.70519,18.91834
Kremnické Bane,48.59184,18.84958
Kristy,48.74455,22.18136
Krišľovce,49.20211,21.65216
Krišovská Liesková,48.75434,21.9195
Krivá,49.20983,19.30341
Krivany,49.10308,21.0988
Kriváň,48.56082,19.41954
Krivé,49.29175,21.27271
Krivoklát,48.83333,18.25
Krivosúd-Bodovka,48.89452,18.04436
Kríže,49.29175,21.27271
Krížová Ves,49.1357,20.43352
Krížovany,48.98149,21.0498
Križovany nad Dudváhom,48.3774,17.58723
Krná,48.43094,19.79408
Krnča,48.56362,18.16712
Krokava,48.38284,20.0224
Krompachy,48.94464,20.56154
Krpeľany,49.06651,18.92399
Krškany,48.21563,18.60705
Krtovce,48.56362,18.16712
Kručov,49.20211,21.65216
Krupina,48.3554,19.06474
Krušetnica,49.4079,19.48032
Krušinec,49.20211,21.65216
Krušovce,48.56362,18.16712
Kružlov,49.29175,21.27271
Kružlová,49.30819,21.5703
Kružná,48.66008,20.53758
Kružno,48.38284,20.0224
Kšinná,48.83333,18.25
Kubáňovo,48.21563,18.60705
Kučín,49.29175,21.27271
Kučín,48.88836,21.68479
Kuchyňa,48.43604,17.02188
Kuklov,48.67922,17.36697
Kuková,49.30819,21.5703
Kukučínov,48.21563,18.60705
Kunerad,49.09786,18.7131
Kunešov,48.59184,18.84958
Kunova Teplica,48.66008,20.53758
Kuraľany,48.21563,18.60705
Kurima,49.29175,21.27271
Kurimany,49.02173,20.59212
Kurimka,49.30819,21.5703
Kurov,49.29175,21.27271
Kusín,48.75434,21.9195
Kútniky,47.99268,17.61211
Kúty,48.67922,17.36697
Kuzmice,48.56362,18.16712
Kuzmice,48.62858,21.71954
Kvačany,49.08061,19.62218
Kvačany,48.94517,21.08654
Kvakovce,48.88836,21.68479
Kvašov,48.83333,18.25
Kvetoslavov,47.99268,17.61211
Kyjatice,48.38284,20.0224
Kyjov,49.29859,20.6862
Kynceľová,48.73946,19.15349
Kysak,48.66667,21.33333
Kyselica,47.99268,17.61211
Kysta,48.62858,21.71954
Kysucké Nové Mesto,49.3,18.78333
Kysucký Lieskovec,49.3,18.78333
Láb,48.43604,17.02188
Lackov,48.3554,19.06474
Lacková,49.29859,20.6862
Lackovce,48.93707,21.91625
Lada,49.04346,21.35908
Ladce,48.83333,18.25
Ladice,48.38553,18.40063
Ladmovce,48.62858,21.71954
Ladomerská Vieska,48.59184,18.84958
Ladomirov,48.98857,22.15099
Ladomirová,49.30819,21.5703
Ladzany,48.3554,19.06474
Lakšárska Nová Ves,48.67922,17.36697
Lascov,49.29175,21.27271
Laskár,49.06651,18.92399
Lastomír,48.75434,21.9195
Lastovce,48.62858,21.71954
Laškovce,48.75434,21.9195
Látky,48.56082,19.41954
Lazany,48.76667,18.63333
Lazisko,49.08061,19.62218
Lazy pod Makytou,48.83333,18.25
Lažany,49.03596,21.09851
Lednica,48.83333,18.25
Lednické Rovne,48.83333,18.25
Legnava,49.29859,20.6862
Lehnice,47.99268,17.61211
Lehota,48.31157,17.98948
Lehota nad Rimavicou,48.38284,20.0224
Lehota pod Vtáčnikom,48.76667,18.63333
Lehôtka,48.33249,19.66708
Lehôtka pod Brehmi,48.59184,18.84958
Lechnica,49.1357,20.43352
Lekárovce,48.74455,22.18136
Leles,48.62858,21.71954
Leľa,47.98333,18.16667
Lemešany,48.84991,21.27113
Lenartov,49.29175,21.27271
Lenartovce,48.38284,20.0224
Lendak,49.1357,20.43352
Lenka,48.38284,20.0224
Lentvora,48.33249,19.66708
Leopoldov,48.43174,17.8031
Lesenice,48.21058,19.35043
Lesíček,48.91811,21.38544
Lesné,48.75434,21.9195
Lesnica,49.29859,20.6862
Leštiny,49.20983,19.30341
Lešť (vojenský obvod),48.57442,19.15324
Letanovce,48.94464,20.56154
Letničie,48.8449,17.22635
Leváre,48.68346,20.11734
Levice,48.21563,18.60705
Levkuška,48.68346,20.11734
Levoča,49.02173,20.59212
Ležiachov,49.06651,18.92399
Libichava,48.83333,18.25
Licince,48.68346,20.11734
Ličartovce,48.8761,21.2467
Liesek,49.337,19.556
Lieskovany,48.94464,20.56154
Lieskovec,48.57442,19.15324
Lieskovec,48.93707,21.91625
Liešno,48.86226,18.86048
Liešťany,48.76667,18.63333
Lietava,49.16981,18.67509
Lietavská Lúčka,49.17315,18.71385
Lietavská Svinná-Babkov,49.15749,18.64092
Likavka,49.0748,19.30751
Limbach,48.28986,17.26664
Lipany,49.10308,21.0988
Lipník,48.76667,18.63333
Lipníky,48.99839,21.23393
Lipová,47.98333,18.16667
Lipová,49.29175,21.27271
Lipovany,48.33249,19.66708
Lipovce,49.0562,20.95343
Lipové,47.76667,18.13333
Lipovec,49.06651,18.92399
Lipovec,48.38284,20.0224
Lipovník,48.56362,18.16712
Lipovník,48.66008,20.53758
Liptovská Anna,49.08061,19.62218
Liptovská Kokava,49.08061,19.62218
Liptovská Lúžna,49.0748,19.30751
Liptovská Osada,49.0748,19.30751
Liptovská Porúbka,49.08061,19.62218
Liptovská Sielnica,49.14309,19.51421
Liptovská Štiavnica,49.0748,19.30751
Liptovská Teplá,49.0748,19.30751
Liptovská Teplička,49.06144,20.29798
Liptovské Beharovce,49.08061,19.62218
Liptovské Kľačany,49.08061,19.62218
Liptovské Matiašovce,49.08061,19.62218
Liptovské Revúce,49.0748,19.30751
Liptovské Sliače,49.0748,19.30751
Liptovský Hrádok,49.08061,19.62218
Liptovský Ján,49.04864,19.67853
Liptovský Michal,49.0748,19.30751
Liptovský Mikuláš,49.08061,19.62218
Liptovský Ondrej,49.08061,19.62218
Liptovský Peter,49.08061,19.62218
Liptovský Trnovec,49.12038,19.5471
Lisková,49.0748,19.30751
Lišov,48.3554,19.06474
Litava,48.3554,19.06474
Litmanová,49.29859,20.6862
Livina,48.83333,18.25
Livinské Opatovce,48.83333,18.25
Livov,49.29175,21.27271
Livovská Huta,49.29175,21.27271
Lodno,49.3,18.78333
Lok,48.21563,18.60705
Lokca,49.4079,19.48032
Lom nad Rimavicou,48.80431,19.63631
Lomná,49.4079,19.48032
Lomné,49.20211,21.65216
Lomnička,49.29859,20.6862
Lontov,48.21563,18.60705
Lopašov,48.8449,17.22635
Lopúchov,49.29175,21.27271
Lopušné Pažite,49.3,18.78333
Lošonec,48.48204,17.39896
Lovce,48.38553,18.40063
Lovča,48.59184,18.84958
Lovčica-Trubín,48.59184,18.84958
Lovinobaňa,48.33249,19.66708
Lozorno,48.43604,17.02188
Ložín,48.75434,21.9195
Lubeník,48.68346,20.11734
Lubina,48.75466,17.83506
Lúč na Ostrove,47.99268,17.61211
Lučatín,48.78277,19.32004
Lučenec,48.33249,19.66708
Lúčina,48.89315,21.43118
Lučivná,49.06144,20.29798
Lúčka,49.02173,20.59212
Lúčka,49.10308,21.0988
Lúčka,49.30819,21.5703
Lúčka,48.66008,20.53758
Lúčky,49.0748,19.30751
Lúčky,48.59184,18.84958
Lúčky,48.75434,21.9195
Lúčnica nad Žitavou,48.30763,18.08453
Ludanice,48.56362,18.16712
Ludrová,49.0748,19.30751
Luhyňa,48.62858,21.71954
Lúka,48.75466,17.83506
Lukačovce,48.93707,21.91625
Lukáčovce,48.39552,17.93784
Lukavica,48.57442,19.15324
Lukavica,49.29175,21.27271
Lukov,49.29175,21.27271
Lukovištia,48.38284,20.0224
Lúky,48.83333,18.25
Lula,48.21563,18.60705
Lupoč,48.33249,19.66708
Lutila,48.59184,18.84958
Lutiše,49.29078,18.95743
Lužany,48.56362,18.16712
Lužany pri Topli,49.30819,21.5703
Lužianky,48.34908,18.029
Lysá pod Makytou,48.83333,18.25
Lysica,49.22808,19.18324
Ľubá,47.98333,18.16667
Ľubeľa,49.08061,19.62218
Ľubica,49.1357,20.43352
Ľubietová,48.74531,19.36101
Ľubiša,48.93707,21.91625
Ľubochňa,49.0748,19.30751
Ľuboreč,48.33249,19.66708
Ľuboriečka,48.21058,19.35043
Ľubotice,49.0116,21.27366
Ľubotín,49.29859,20.6862
Ľubovec,48.91229,21.17469
Ľudovítová,48.39753,18.07875
Ľutina,49.10308,21.0988
Ľutov,48.83333,18.25
Macov,47.99268,17.61211
Mad,47.99268,17.61211
Madunice,48.43174,17.8031
Magnezitovce,48.68346,20.11734
Machulince,48.38553,18.40063
Majcichov,48.28462,17.63032
Majere,49.1357,20.43352
Majerovce,48.88836,21.68479
Makov,49.43503,18.78895
Makovce,49.20211,21.65216
Malá Čalomija,48.21058,19.35043
Malá Čausa,48.76667,18.63333
Malá Čierna,49.22315,18.73941
Malá Domaša,48.88836,21.68479
Malá Franková,49.1357,20.43352
Malá Hradná,48.83333,18.25
Malá Ida,48.66667,21.33333
Malá Lehota,48.48124,18.71565
Malá Lodina,48.66667,21.33333
Malá Mača,48.2,17.71667
Malá nad Hronom,47.98333,18.16667
Malá Poľana,49.20211,21.65216
Malá Tŕňa,48.62858,21.71954
Malacky,48.43604,17.02188
Malachov,48.71025,19.08969
Málaš,48.21563,18.60705
Malatiná,49.20983,19.30341
Malatíny,49.08061,19.62218
Malcov,49.29175,21.27271
Malčice,48.75434,21.9195
Malé Borové,49.08061,19.62218
Malé Dvorníky,47.99268,17.61211
Malé Chyndice,48.30316,18.28604
Malé Hoste,48.83333,18.25
Malé Kosihy,47.98333,18.16667
Malé Kozmálovce,48.21563,18.60705
Malé Kršteňany,48.83333,18.25
Malé Lednice,49.12153,18.42169
Malé Leváre,48.43604,17.02188
Malé Ludince,48.21563,18.60705
Malé Ozorovce,48.62858,21.71954
Malé Raškovce,48.75434,21.9195
Malé Ripňany,48.56362,18.16712
Malé Straciny,48.21058,19.35043
Malé Trakany,48.62858,21.71954
Malé Uherce,48.83333,18.25
Malé Vozokany,48.38553,18.40063
Malé Zálužie,48.43581,17.98604
Malé Zlievce,48.21058,19.35043
Málinec,48.43094,19.79408
Malinová,48.76667,18.63333
Malinovo,48.21951,17.40043
Malužiná,49.08061,19.62218
Malý Cetín,48.23967,18.17693
Malý Čepčín,48.86226,18.86048
Malý Horeš,48.62858,21.71954
Malý Kamenec,48.62858,21.71954
Malý Krtíš,48.21058,19.35043
Malý Lapáš,48.30022,18.18195
Malý Lipník,49.29859,20.6862
Malý Slavkov,49.1357,20.43352
Malý Slivník,49.11826,21.26031
Malý Šariš,49.00995,21.18303
Malženice,48.45014,17.675
Mankovce,48.38553,18.40063
Maňa,47.98333,18.16667
Marcelová,47.76667,18.13333
Margecany,48.85584,20.93712
Marhaň,49.29175,21.27271
Marianka,48.43604,17.02188
Markovce,48.75434,21.9195
Markuška,48.66008,20.53758
Markušovce,48.94464,20.56154
Maršová-Rašov,49.22404,18.55878
Martin,49.06651,18.92399
Martin nad Žitavou,48.38553,18.40063
Martinček,49.0748,19.30751
Martinová,48.38284,20.0224
Martovce,47.76667,18.13333
Mašková,48.33249,19.66708
Maškovce,48.93707,21.91625
Matejovce nad Hornádom,48.94464,20.56154
Matiaška,48.88836,21.68479
Matiašovce,49.1357,20.43352
